Chl-a,WT,pH,EC,DO,BOD,COD,SS,TN,TP,TOC,DOC,NH3-N,NO3-N,PO4-P,BODTOC ratio
22,13.3,8.4,354,11.1,2.4,6,12.5,4.302,0.135,4.555,3.419,0.17,3.484,0.038,0.5
26.6,14.1,8.3,325,10.1,2.8,6.6,12.4,3.621,0.111,3.84,3.255,0.161,2.632,0.023,0.7
46.5,14.3,8.5,253,10.5,3.2,6.4,25.6,2.862,0.126,4.316,2.849,0.024,1.968,0.004,0.7
31.2,15.7,8.6,253,10.7,2.6,6,19.4,3.06,0.129,4.448,3.386,0.093,2.03,0.006,0.6
11.2,17.1,8.2,262,9.3,2.6,7.1,24.8,3.981,0.192,5.564,4.372,0.394,2.449,0.085,0.5
17.2,20.1,8.3,281,8.9,2.5,7.1,21.7,2.538,0.192,5.318,4.188,0.097,1.744,0.031,0.5
10,23.5,8,283,7.7,3.6,13.2,34,4.158,0.318,8.132,7.861,0.499,2.389,0.061,0.4
15.9,20.9,8.4,255,8.5,1.4,5.9,27.2,2.1,0.12,4.146,2.99,0.035,1.668,0.037,0.3
17.8,23.1,8.3,257,8,2.3,7.6,68,3.145,0.365,8.646,5.136,0.151,1.997,0.107,0.3
14.6,24.2,8.3,260,7.8,1.4,5.2,23.8,2.585,0.14,3.856,2.934,0.035,1.383,0.033,0.4
10.6,28.6,8.1,259,7.4,2.1,10.2,59.2,2.664,0.429,7.84,5.551,0.134,1.641,0.188,0.3
16.2,29.1,8.3,344,8,1.5,6.6,31.3,2.427,0.231,5.414,3.844,0.022,1.659,0.084,0.3
5.6,23,7.8,126,7.3,2.5,10.9,163.3,3.63,0.735,7.954,4.816,0.363,1.964,0.304,0.3
5.3,26.2,8,268,7.7,0.8,5.8,26.8,4.713,0.273,4.901,3.999,0.055,3.809,0.18,0.2
47.6,28.3,8,225,7,4.1,8.6,113.3,3.942,0.522,5.543,4.086,0.298,2.708,0.149,0.7
26.9,28.8,8.3,298,9.5,2,6.6,10.1,2.15,0.136,4.223,3.163,0.001,1.726,0.07,0.5
17.3,29.1,8.6,253,9.2,1.6,4.9,11.6,3.201,0.147,3.701,3.272,0.012,2.557,0.085,0.4
4,24.1,8.1,309,7.8,0.7,5,20.2,4.749,0.237,3.868,3.295,0.06,4.032,0.154,0.2
11.1,25.1,8.3,242,8.1,0.9,4.9,23.7,3.621,0.204,3.481,2.87,0.028,2.995,0.103,0.3
18.1,24.7,8.4,292,8,1.5,4.3,15.5,3.777,0.138,3.258,3.104,0.024,2.958,0.06,0.5
4.8,24.6,8,307,8,0.8,5.1,26,4.725,0.261,4.411,4.32,0.044,3.738,0.156,0.2
5.5,18.2,8.4,343,10.3,0.7,4.1,9.7,6.27,0.141,3.039,2.881,0.032,5.49,0.011,0.2
4.2,16,8.4,345,10.7,0.7,3.9,3.4,6.267,0.12,2.902,2.695,0.044,5.336,0.084,0.2
5.1,14.6,8.4,349,10.7,0.7,3.8,5.9,6.369,0.129,2.919,2.642,0.056,4.628,0.083,0.2
10.4,14.6,7.5,411,10.3,1,4,10.6,6.327,0.123,2.9,2.845,0.04,5.072,0.076,0.3
3.6,11.2,7.5,377,11.4,1.1,5.8,9.6,5.025,0.177,4.343,3.851,0.092,4.106,0.107,0.3
2,7,7.5,422,13.2,0.7,4.1,4.3,6.681,0.093,2.524,2.345,0.11,5.71,0.06,0.3
6.2,7.1,7.7,426,13.4,1,4.1,8.1,6.75,0.12,2.842,2.441,0.049,5.84,0.034,0.4
3.6,6.6,7.7,472,13.4,1,4.2,4.1,7.866,0.078,2.69,2.519,0.177,6.578,0.029,0.4
3.1,4.6,7.6,452,14.1,1,3.9,7.2,7.362,0.075,2.3,2.189,0.104,6.29,0.02,0.4
20.6,8.3,7.5,408,11.4,5.2,7.8,64.5,6.89,0.38,5.247,3.941,0.653,4.476,0.114,1
1.7,3.7,7.7,390,12.8,0.8,3.9,7.2,7.8,0.145,2.799,2.405,0.238,6.108,0.083,0.3
2.7,1.8,7.7,625,15.4,1.2,3.9,5.4,8.382,0.111,2.994,2.537,0.682,6.212,0.054,0.4
