Chl-a,WT,pH,EC,DO,BOD,COD,SS,TN,TP,TOC,DOC,NH3-N,NO3-N,PO4-P,BODTOC ratio,A250_A365,A254_A436,A254,S275-295,S350-400,SR,UV254,SUVA
22,13.3,8.4,354,11.1,2.4,6,12.5,4.302,0.135,4.555,3.419,0.17,3.484,0.038,0.5,5.18,9.31,0.016,0.0151,0.0118,1.279,0.065,1.9
26.6,14.1,8.3,325,10.1,2.8,6.6,12.4,3.621,0.111,3.84,3.255,0.161,2.632,0.023,0.7,4.56,9.28,0.024,0.0159,0.0118,1.352,0.095,2.93
46.5,14.3,8.5,253,10.5,3.2,6.4,25.6,2.862,0.126,4.316,2.849,0.024,1.968,0.004,0.7,4.68,8.7,0.017,0.0151,0.0114,1.325,0.069,2.41
31.2,15.7,8.6,253,10.7,2.6,6,19.4,3.06,0.129,4.448,3.386,0.093,2.03,0.006,0.6,6.17,13.62,0.014,0.0173,0.0148,1.168,0.056,1.64
11.2,17.1,8.2,262,9.3,2.6,7.1,24.8,3.981,0.192,5.564,4.372,0.394,2.449,0.085,0.5,6.58,19.61,0.027,0.0185,0.0175,1.056,0.108,2.48
17.2,20.1,8.3,281,8.9,2.5,7.1,21.7,2.538,0.192,5.318,4.188,0.097,1.744,0.031,0.5,5.71,12.51,0.018,0.0166,0.0137,1.21,0.091,2.18
10,23.5,8,283,7.7,3.6,13.2,34,4.158,0.318,8.132,7.861,0.499,2.389,0.061,0.4,5.34,13.9,0.044,0.0155,0.0156,0.99,0.219,2.78
15.9,20.9,8.4,255,8.5,1.4,5.9,27.2,2.1,0.12,4.146,2.99,0.035,1.668,0.037,0.3,8.14,44.72,0.013,0.0187,0.0226,0.826,0.065,2.17
17.8,23.1,8.3,257,8,2.3,7.6,68,3.145,0.365,8.646,5.136,0.151,1.997,0.107,0.3,5.96,15.81,0.019,0.0164,0.0169,0.97,0.097,1.89
14.6,24.2,8.3,260,7.8,1.4,5.2,23.8,2.585,0.14,3.856,2.934,0.035,1.383,0.033,0.4,6.83,21.45,0.013,0.0184,0.0176,1.047,0.067,2.27
10.6,28.6,8.1,259,7.4,2.1,10.2,59.2,2.664,0.429,7.84,5.551,0.134,1.641,0.188,0.3,6.19,54.56,0.039,0.0154,0.0236,0.651,0.194,3.49
16.2,29.1,8.3,344,8,1.5,6.6,31.3,2.427,0.231,5.414,3.844,0.022,1.659,0.084,0.3,6.92,32.22,0.023,0.017,0.0218,0.782,0.116,3.02
5.6,23,7.8,126,7.3,2.5,10.9,163.3,3.63,0.735,7.954,4.816,0.363,1.964,0.304,0.3,3.76,8.75,0.045,0.0116,0.0132,0.878,0.227,4.7
