Chl-a,WT,pH,EC,DO,BOD,COD,SS,TN,TP,TOC,DOC,NH3-N,NO3-N,PO4-P,BODTOC ratio,BP,BP CN ratio,BP percent,HS,HS DON,HS CN ratio,Aromaticity,Mol-weight,BB,LMWA,LMWN
22,13.3,8.4,354,11.1,2.4,6,12.5,4.302,0.135,4.555,3.419,0.17,3.484,0.038,0.5,157,0.18,54,1177,71,0.06,1.55,377,391,0,665
26.6,14.1,8.3,325,10.1,2.8,6.6,12.4,3.621,0.111,3.84,3.255,0.161,2.632,0.023,0.7,214,0.16,47,1287,72,0.06,1.65,375,474,0,686
46.5,14.3,8.5,253,10.5,3.2,6.4,25.6,2.862,0.126,4.316,2.849,0.024,1.968,0.004,0.7,86,0.24,71,546,36,0.07,1.97,382,167,0,284
31.2,15.7,8.6,253,10.7,2.6,6,19.4,3.06,0.129,4.448,3.386,0.093,2.03,0.006,0.6,171,0.2,61,1106,61,0.05,2.13,439,403,0,698
11.2,17.1,8.2,262,9.3,2.6,7.1,24.8,3.981,0.192,5.564,4.372,0.394,2.449,0.085,0.5,192,0.18,53,1705,128,0.07,2.38,433,575,0,817
17.2,20.1,8.3,281,8.9,2.5,7.1,21.7,2.538,0.192,5.318,4.188,0.097,1.744,0.031,0.5,179,0.25,74,1494,126,0.08,2.07,400,529,0,796
10,23.5,8,283,7.7,3.6,13.2,34,4.158,0.318,8.132,7.861,0.499,2.389,0.061,0.4,551,0.17,51,3542,268,0.08,2.36,485,982,0,1711
15.9,20.9,8.4,255,8.5,1.4,5.9,27.2,2.1,0.12,4.146,2.99,0.035,1.668,0.037,0.3,83,0.2,59,1204,109,0.09,2.85,212,929,1,385
17.8,23.1,8.3,257,8,2.3,7.6,68,3.145,0.365,8.646,5.136,0.151,1.997,0.107,0.3,101,0.09,27,1613,91,0.06,3.06,210,1146,31,544
14.6,24.2,8.3,260,7.8,1.4,5.2,23.8,2.585,0.14,3.856,2.934,0.035,1.383,0.033,0.4,65,0.27,81,1106,86,0.08,2.78,211,951,44,403
10.6,28.6,8.1,259,7.4,2.1,10.2,59.2,2.664,0.429,7.84,5.551,0.134,1.641,0.188,0.3,123,0.9,100,2091,175,0.08,2.88,246,2334,151,529
16.2,29.1,8.3,344,8,1.5,6.6,31.3,2.427,0.231,5.414,3.844,0.022,1.659,0.084,0.3,46,0.15,45,1464,122,0.08,3.18,242,1505,24,434
5.6,23,7.8,126,7.3,2.5,10.9,163.3,3.63,0.735,7.954,4.816,0.363,1.964,0.304,0.3,71,0.16,47,1805,135,0.08,4.22,239,1353,7,422
5.3,26.2,8,268,7.7,0.8,5.8,26.8,4.713,0.273,4.901,3.999,0.055,3.809,0.18,0.2,31,1.11,100,1411,159,0.11,4.14,205,1437,12,412
47.6,28.3,8,225,7,4.1,8.6,113.3,3.942,0.522,5.543,4.086,0.298,2.708,0.149,0.7,58,0.24,73,1396,79,0.06,3.39,205,1244,7,526
26.9,28.8,8.3,298,9.5,2,6.6,10.1,2.15,0.136,4.223,3.163,0.001,1.726,0.07,0.5,61,0.29,86,1050,63,0.06,3.72,231,1141,21,296
17.3,29.1,8.6,253,9.2,1.6,4.9,11.6,3.201,0.147,3.701,3.272,0.012,2.557,0.085,0.4,46,0.04,13,1153,74,0.06,3.35,181,882,40,321
4,24.1,8.1,309,7.8,0.7,5,20.2,4.749,0.237,3.868,3.295,0.06,4.032,0.154,0.2,12,2.96,100,1327,116,0.09,5.38,654,1004,17,3786
11.1,25.1,8.3,242,8.1,0.9,4.9,23.7,3.621,0.204,3.481,2.87,0.028,2.995,0.103,0.3,30,0.13,40,1362,88,0.06,3.69,745,758,0,605
18.1,24.7,8.4,292,8,1.5,4.3,15.5,3.777,0.138,3.258,3.104,0.024,2.958,0.06,0.5,30,0.29,88,1038,77,0.07,4.11,783,728,1,572
4.8,24.6,8,307,8,0.8,5.1,26,4.725,0.261,4.411,4.32,0.044,3.738,0.156,0.2,34,0.16,49,1533,122,0.08,4.37,786,1088,59,828
5.5,18.2,8.4,343,10.3,0.7,4.1,9.7,6.27,0.141,3.039,2.881,0.032,5.49,0.011,0.2,25,0.11,33,946,81,0.09,3.97,790,839,0,555
4.2,16,8.4,345,10.7,0.7,3.9,3.4,6.267,0.12,2.902,2.695,0.044,5.336,0.084,0.2,35,0.12,35,974,83,0.08,3.84,790,898,0,755
5.1,14.6,8.4,349,10.7,0.7,3.8,5.9,6.369,0.129,2.919,2.642,0.056,4.628,0.083,0.2,39,0.15,45,946,93,0.1,4.2,810,978,5,616
10.4,14.6,7.5,411,10.3,1,4,10.6,6.327,0.123,2.9,2.845,0.04,5.072,0.076,0.3,45,0.16,48,1047,82,0.08,3.28,742,800,0,616
3.6,11.2,7.5,377,11.4,1.1,5.8,9.6,5.025,0.177,4.343,3.851,0.092,4.106,0.107,0.3,90,0.15,46,1441,123,0.09,3.86,792,1214,20,938
2,7,7.5,422,13.2,0.7,4.1,4.3,6.681,0.093,2.524,2.345,0.11,5.71,0.06,0.3,16,0.27,81,835,56,0.07,3.65,616,691,0,627
6.2,7.1,7.7,426,13.4,1,4.1,8.1,6.75,0.12,2.842,2.441,0.049,5.84,0.034,0.4,56,0.15,44,875,70,0.08,3.26,749,721,0,572
3.6,6.6,7.7,472,13.4,1,4.2,4.1,7.866,0.078,2.69,2.519,0.177,6.578,0.029,0.4,29,0.16,48,838,52,0.06,3.38,629,706,0,621
3.1,4.6,7.6,452,14.1,1,3.9,7.2,7.362,0.075,2.3,2.189,0.104,6.29,0.02,0.4,54,0.23,68,764,65,0.08,2.78,754,679,0,730
20.6,8.3,7.5,408,11.4,5.2,7.8,64.5,6.89,0.38,5.247,3.941,0.653,4.476,0.114,1,82,0.19,57,1360,106,0.08,3.68,653,998,10,905
1.7,3.7,7.7,390,12.8,0.8,3.9,7.2,7.8,0.145,2.799,2.405,0.238,6.108,0.083,0.3,25,0.16,47,830,75,0.09,3.72,786,852,0,730
2.7,1.8,7.7,625,15.4,1.2,3.9,5.4,8.382,0.111,2.994,2.537,0.682,6.212,0.054,0.4,66,0.17,51,785,72,0.09,3,784,763,0,738
3.6,3.7,7.7,408,13.5,0.8,3.3,11.1,8.605,0.145,2.943,2.153,0.547,5.756,0.049,0.3,50,0.17,52,700,55,0.08,2.73,760,646,0,526
5.8,4.4,7.6,648,12.5,1.7,5.2,11.2,8.28,0.14,3.684,3.268,0.65,5.91,0.063,0.5,98,0.48,100,957,111,0.12,3.53,845,923,0,925
2.9,7.7,7.4,564,11.6,8.8,5.9,4.4,8.025,0.13,3.12,2.583,0.14,6.324,0.01,2.8,124,0.21,64,810,77,0.1,2.96,846,777,0,729
1.9,7,7.5,387,12.6,1.3,5.5,14.6,7.293,0.186,3.828,3.253,0.296,6.072,0.093,0.3,122,0.2,60,1204,92,0.08,3.96,630,1039,0,729
4.5,7,7.6,394,12.5,0.8,4.3,17,8.343,0.159,2.557,2.519,0.343,6.414,0.053,0.3,86,0.25,74,881,68,0.08,3.36,613,782,0,636
1.4,6.8,7.8,411,13.3,1.5,4.1,8.2,7.506,0.105,2.992,2.426,0.302,5.334,0.043,0.5,82,0.26,77,794,74,0.09,3.43,659,763,0,654
3.8,8.3,8,461,12.8,1.5,4.9,9,7.446,0.093,3.661,2.921,0.361,6.348,0.042,0.4,126,0.2,59,971,83,0.09,3.14,641,850,0,801
